,省,市,市（代码）,日期,现存确诊,新增确诊,本土新增确诊,无症状(只有本土),新增治愈,新增死亡,累计确诊,累计治愈,累计死亡
330616,青海,海东,630200,2022.12.02,6,0,0,104,0,0,16,10,
331028,青海,黄南州,,2022.12.02,0,0,0,33,0,0,5,5,
331440,青海,海南州,,2022.12.02,1,0,0,29,0,0,6,5,
331852,青海,果洛州,,2022.12.02,2,0,0,0,0,0,2,,
332264,青海,玉树州,,2022.12.02,2,0,0,16,0,0,7,5,
332676,青海,海西州,,2022.12.02,0,0,0,0,0,0,47,47,
333088,新疆,乌鲁木齐,650100,2022.12.02,448,0,2,56,0,0,1866,1418,
334135,新疆,巴州,,2022.12.02,0,0,0,3,0,0,44,44,
335168,新疆,昌吉州,,2022.12.02,0,0,0,0,0,0,11,11,
336204,新疆,伊犁州,,2022.12.02,73,0,0,0,0,0,188,115,
337249,新疆,吐鲁番,650400,2022.12.02,0,0,0,0,0,0,31,31,
338296,新疆,阿克苏地区,652900,2022.12.02,0,0,0,0,0,0,1,1,
339343,新疆,五家渠,659004,2022.12.02,0,0,0,0,0,0,2,2,
340379,新疆,石河子,659001,2022.12.02,0,0,0,1,0,0,4,3,1
341426,新疆,喀什地区,653100,2022.12.02,106,0,6,307,0,0,222,116,
342297,新疆,克州,,2022.12.02,4,0,0,2,0,0,4,,
343060,新疆,哈密,650500,2022.12.02,0,0,0,25,0,0,8,8,
343492,新疆,博州,,2022.12.02,0,0,0,0,0,0,1,1,
343971,新疆,和田地区,653200,2022.12.02,87,0,5,325,0,0,131,44,
344403,新疆,塔城地区,654200,2022.12.02,0,0,0,0,0,0,13,13,
344835,宁夏,银川,640100,2022.12.02,2,0,2,236,0,0,91,89,
345881,宁夏,吴忠,640300,2022.12.02,0,0,0,20,0,0,50,50,
346926,宁夏,石嘴山,640200,2022.12.02,0,0,0,13,0,0,2,2,
347960,宁夏,固原,640400,2022.12.02,0,0,0,132,0,0,9,9,
349005,宁夏,中卫,640500,2022.12.02,0,0,0,32,0,0,80,80,
3,湖北,武汉,420100,2022.12.03,230,0,15,288,0,0,50689,46590,3869
1050,湖北,黄冈,421100,2022.12.03,0,0,0,9,0,0,2913,2788,125
2099,湖北,孝感,420900,2022.12.03,0,0,0,21,0,0,3518,3389,129
3148,湖北,荆门,420800,2022.12.03,0,0,0,18,0,0,971,930,41
4197,湖北,咸宁,421200,2022.12.03,0,0,0,15,0,0,836,821,15
5246,湖北,荆州,421000,2022.12.03,0,0,0,15,0,0,1582,1530,52
6295,湖北,襄阳,420600,2022.12.03,0,0,0,29,0,0,1190,1150,40
