Entity,Year,fish-discards
Tanzania,1975,410.6102477
Tanzania,1976,1665.030187
Tanzania,1977,722.050007
Tanzania,1978,565.4347156
Tanzania,1979,513.0095052
Tanzania,1980,421.7262625
Tanzania,1981,760.3419391
Tanzania,1982,375.8815469
Tanzania,1983,452.5751404
Tanzania,1984,626.9606445
Tanzania,1985,834.7889285
Tanzania,1986,950.3933903
Tanzania,1987,2315.656973
Tanzania,1988,2147.126341
Tanzania,1989,3034.553532
Tanzania,1990,3016.282106
Tanzania,1991,3774.939025
Tanzania,1992,3505.802202
Tanzania,1993,3010.026602
Tanzania,1994,2371.183503
Tanzania,1995,3638.985335
Tanzania,1996,4144.872319
Tanzania,1997,3941.06355
Tanzania,1998,4642.481155
Tanzania,1999,3509.272888
Tanzania,2000,3638.84842
Tanzania,2001,3535.443949
Tanzania,2002,3571.075309
Tanzania,2003,3033.255111
Tanzania,2004,2341.841966
Tanzania,2005,3375.77756
Tanzania,2006,3630.941173
Tanzania,2007,3257.857537
Tanzania,2008,2122.947748
Tanzania,2009,2141.660445
Tanzania,2010,2840.623447
Tanzania,2011,3395.326991
Tanzania,2012,2941.110208
Tanzania,2013,2819.337415
Tanzania,2014,2674.600272
Tanzania,2015,2878.924776
Tanzania,2016,2830.478528
Tanzania,2017,2718.41332
Tanzania,2018,2664.11108
Thailand,1961,573.2392214
Thailand,1962,1185.667652
Thailand,1963,1839.787136
Thailand,1964,2596.094329
Thailand,1965,188846.0298
Thailand,1966,216808.8934
Thailand,1967,235864.9471
Thailand,1968,284555.0056
Thailand,1969,313638.9379
Thailand,1970,357087.8475
Thailand,1971,390521.5872
Thailand,1972,415914.4134
Thailand,1973,414536.6828
Thailand,1974,361070.9259
Thailand,1975,358012.8151
Thailand,1976,381545.5564
Thailand,1977,505938.9682
Thailand,1978,479928.8482
Thailand,1979,433949.1522
Thailand,1980,388896.6879
Thailand,1981,405668.2604
Thailand,1982,461731.0983
Thailand,1983,469760.4319
Thailand,1984,433997.8709
Thailand,1985,441274.3652
Thailand,1986,478799.0056
Thailand,1987,509207.9656
Thailand,1988,449660.3751
Thailand,1989,429314.9961
Thailand,1990,405062.5924
Thailand,1991,389436.1598
Thailand,1992,406347.0151
Thailand,1993,384850.4859
Thailand,1994,364013.2821
Thailand,1995,340469.7255
Thailand,1996,300716.0046
Thailand,1997,240154.9856
Thailand,1998,197748.4359
Thailand,1999,145335.4818
Thailand,2000,96992.14737
Thailand,2001,88807.76087
Thailand,2002,86503.65247
Thailand,2003,85915.21322
Thailand,2004,81899.98402
Thailand,2005,80825.82513
Thailand,2006,77950.79538
Thailand,2007,64567.3893
Thailand,2008,56470.97058
Thailand,2009,53633.92864
Thailand,2010,53821.2468
Thailand,2011,54276.05688
Thailand,2012,50881.20224
Thailand,2013,54473.55993
Thailand,2014,50813.98331
Thailand,2015,45768.21486
Thailand,2016,46752.63672
Thailand,2017,45334.33047
Thailand,2018,37041.32017
Togo,1959,96
Togo,1960,94.95652174
Togo,1961,93.91304348
Togo,1962,116.0869565
Togo,1963,114.7826087
Togo,1964,113.4782609
Togo,1965,131.7417569
Togo,1966,132.4304302
Togo,1967,133.0828667
Togo,1968,135.0415013
Togo,1969,128.3793079
Togo,1970,185.2877755
Togo,1971,203.3140242
Togo,1972,198.09332
Togo,1973,204.1505409
Togo,1974,209.6699419
Togo,1975,243.0124516
Togo,1976,257.7455192
Togo,1977,273.7429642
Togo,1978,320.036166
Togo,1979,351.6009516
Togo,1980,329.6665069
Togo,1981,375.9902386
Togo,1982,428.327633
Togo,1983,304.4759609
Togo,1984,339.0219713
Togo,1985,362.6980075
